11-P-R1	|	P	|	R1	|	39.49882	|	4.00000	|	3.83260	|	68.52031	|	3.832601	|	3.832601	|	11
11-P-R2-1	|	P	|	R2-1	|	41.03525	|	5.00000	|	3.83260	|	70.05675	|	3.832601	|	3.832601	|	11
11-P-R2-2	|	P	|	R2-2	|	46.19875	|	6.50000	|	4.11916	|	72.36141	|	4.119161	|	4.119161	|	11
11-P-R2-3	|	P	|	R2-3	|	51.17751	|	8.50000	|	4.38922	|	75.43428	|	4.38922	|	4.38922	|	11
11-P-R3-1	|	P	|	R3-1	|	63.07024	|	15.00000	|	6.30987	|	85.42113	|	6.309873	|	6.309873	|	11
11-P-R3-2	|	P	|	R3-2	|	70.75243	|	20.00000	|	6.33035	|	93.10332	|	6.330346	|	6.330346	|	11
11-P-R3-3	|	P	|	R3-3	|	91.83448	|	30.00000	|	7.24232	|	108.46769	|	7.242321	|	7.242321	|	11
11-P-R3-4	|	P	|	R3-4	|	137.92761	|	60.00000	|	8.41631	|	154.56083	|	8.416313	|	8.416313	|	11
11-P-P1	|	P	|	P1	|	85.38809	|	25.00000	|	4.39110	|	106.15981	|	4.37130	|	4.34903	|	11
11-P-P2	|	P	|	P2	|	85.38809	|	60.00000	|	4.39110	|	106.15981	|	4.37130	|	4.34903	|	11
11-P-P3-1	|	P	|	P3-1	|	274.02885	|	150.00000	|	5.79231	|	292.84022	|	5.77251	|	5.75023	|	11
11-P-P3-2	|	P	|	P3-2	|	274.02885	|	150.00000	|	5.79231	|	292.84022	|	5.77251	|	5.75023	|	11
11-Q-R1	|	Q	|	R1	|	39.49882	|	4.00000	|	2.96855	|	68.52031	|	2.968552	|	2.968552	|	11
11-Q-R2-1	|	Q	|	R2-1	|	41.03525	|	5.00000	|	2.96855	|	70.05675	|	2.968552	|	2.968552	|	11
11-Q-R2-2	|	Q	|	R2-2	|	46.19875	|	6.50000	|	3.25511	|	72.36141	|	3.255112	|	3.255112	|	11
11-Q-R2-3	|	Q	|	R2-3	|	51.17751	|	8.50000	|	3.52517	|	75.43428	|	3.52517	|	3.52517	|	11
